id,name,desc,price,quantity
4,TCL C845,Prisvärd QLED-TV med hög kontrast och imponerande ljusstyrka.,10000.0,10
7,Sony Bravia X85L,Ljusstark LED-TV som erbjuder bra bildkvalitet till ett rimligt pris.,11999.99,6
8,LG B4 OLED,Ett budgetvänligt OLED-alternativ med bra bildkvalitet för prisklassen.,12999.99,15
6,Philips OLED808,Philips mest populära OLED med Ambilight och fantastiska färger.,15600.0,14
0,LG OLED65C3,LG:s populära OLED-TV med fantastisk bildkvalitet och gamingfunktioner.,17999.99,10
5,Samsung S95D,OLED-TV med stark ljusstyrka och anti-reflexbehandling för ljusa rum.,18499.99,9
2,Sony Bravia XR A80L,Högupplöst OLED-TV med kraftfull ljudupplevelse och detaljrik bild.,19999.99,12
1,Samsung QN95C,QLED-TV med Mini LED-belysning och hög ljusstyrka för klara bilder.,21999.99,8
3,Panasonic Z95A,Topprankad OLED-TV med avancerad bildbehandling och AI-driven processor.,23999.99,9
9,Samsung QN900D,8K Neo QLED-TV med skarp bild och AI-driven processor för bättre uppskalning.,29988.99,11
10,LG OLED T4 Transparent,Transparent OLED-TV för modern inredning och futuristiska hem.,29999.99,17
11,Samsung MicroLED 101,Exklusiv MicroLED-TV för dem som söker överlägsen bildkvalitet.,549999.99,1
